company_ID,company_name,company_pic,company_address,company_email,company_field,company_Phone,company_size,training_price,group,training_location,training_date,training_topic,training_field,training_type,order_history,improved_abilities,increasement_points,training_materials_quality,trainer_satisfaction_level,dining_facilities,residential_facilities,satisfaction_level,management_seller_closeness,continuity,likelihood_of_recommendation
11,PT Iswahyudi Farida Tbk,Agnes Rahimah,"Jalan Tubagus Ismail No. 43
Bau-Bau, GO 04023",rusman43@example.com,Aktivitas Jasa Lainnya,(0899) 929 7925,Besar,100000,Retail,"3337 Brown Mills Apt. 530
Lake Ivan, NJ 95638",2023-12-14,"Design Thinking: Creating Innovative Product, Excellent Services and Powerful Selling",Sales & Marketing,Online Training,1,40,39,2,1,2,3,2.0,3,no,31.285714285714285
12,PD Hariyah Tbk,Abyasa Zulaika,"Jalan Rajawali Timur No. 32
Sorong, KU 66345",setiawannajam@example.com,Real Estat,+62 (28) 401-0958,Kecil,800000,Group,"71269 Kristi Creek Suite 099
East Marcus, AR 76892",2024-01-06,Enterprise Solution Selling,Sales & Marketing,Online Training,2,80,43,4,3,2,4,3.25,1,no,45.07142857142857
13,CV Sihombing Nurdiyanti (Persero) Tbk,Uchita Mangunsong,"Jl. Tebet Barat Dalam No. 075
Probolinggo, SN 98276",rajataajimat@example.net,Lainnya,+62-268-065-9213,Menengah,600000,Retail,"27210 John Isle Suite 619
North Aaron, GU 22180",2024-01-20,Powerful Closing Technique Using Psychological Story Telling,Sales & Marketing,Online Training,3,66,39,2,10,6,8,6.5,6,no,74.28571428571429
14,UD Yuniar Lestari,"Ami Wahyuni, M.TI.","Jl. Gardujati No. 05
Bandung, Jawa Timur 63352",wastutimakara@example.org,PendidikanAktivitas Kesehatan Manusia Dan Aktivitas Sosial,(023) 476-3789,Kecil,800000,Retail,"8964 Parsons Circle
East Teresastad, GA 25158",2023-12-11,Professional Telesales & Telemarketing,Sales & Marketing,Online Training,7,39,85,9,7,8,4,7.0,5,yes,86.28571428571429
15,PD Nababan Pratama,"Dr. Hani Gunawan, S.E.I","Jl. Cikapayang No. 84
Bontang, Kepulauan Bangka Belitung 29858",farhunnisa76@example.org,"Aktivitas Profesional, Ilmiah Dan Teknis",+62 (0686) 941-1452,Kecil,200000,Retail,"364 Carpenter Neck
Patrickchester, TX 60666",2024-01-07,Sales Oriented - Customer Service,Sales & Marketing,Online Training,4,33,95,5,6,8,8,6.75,2,yes,76.5
16,PT Gunawan,Rahmi Rajasa,"Gg. Moch. Ramdan No. 120
Dumai, MU 01073",kenes38@example.net,Real Estat,+62 (044) 473 6535,Besar,800000,Retail,"83011 Baker Stream Apt. 559
Noahview, FM 42713",2024-01-18,Sales Performance Improvement For Extraordinary Result,Sales & Marketing,Online Training,8,60,80,9,3,3,9,6.0,9,no,87.14285714285714
17,PD Riyanti Rahimah,"Dr. Jono Wacana, S.Sos","Gg. Dipenogoro No. 691
Singkawang, PA 36870",donopratama@example.org,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",081 452 9130,Kecil,500000,Group,"82323 Paul Drives Apt. 216
North Michaelburgh, MS 64569",2023-12-09,Experiential Marketing Strategy & Tactics,Sales & Marketing,Online Training,5,83,45,5,3,6,9,5.75,2,no,69.35714285714286
18,UD Nashiruddin,Intan Waluyo,"Gg. Ronggowarsito No. 67
Batam, DKI Jakarta 02779",samosirjuli@example.org,Informasi Dan KomunikasiAktivitas Keuangan dan Asuransi,(0885) 897-7818,Kecil,400000,Group,"USNV Herrera
FPO AP 62500",2024-01-09,Teknik Penjualan Aset Kredit Bermasalah,Sales & Marketing,Online Training,1,22,93,8,4,4,7,5.75,5,no,66.07142857142857
19,CV Puspasari Pertiwi (Persero) Tbk,"Oliva Saptono, S.H.","Jalan Surapati No. 208
Prabumulih, Sulawesi Tengah 99363",yulia71@example.com,Aktivitas Jasa Lainnya,088 311 0359,Besar,400000,Group,"311 Kathryn Port Suite 206
Angelabury, KY 62817",2024-01-02,Teknik Penagihan Era Covid 19 & PJOK 11 (3/2020),Sales & Marketing,Online Training,9,48,84,5,7,2,4,4.5,6,no,72.42857142857143
20,PT Suryono Nurdiyanti,"Kamal Siregar, S.H.","Gang Wonoayu No. 78
Sibolga, NB 35109",fardianto@example.org,Pengangkutan dan Pergudangan,081 945 4603,Kecil,900000,Group,"55526 Stein Tunnel
Ginafort, PR 63265",2024-01-15,"Mengelola Team Collection Era Covid-19 bagi Manager,Supervisor & Team Leader: Collector Skills Transformation & Team Motivation Charge Up",Sales & Marketing,Online Training,9,71,36,10,9,2,1,5.5,5,no,74.57142857142857
21,PD Rahayu Kurniawan Tbk,Nugraha Hakim,"Gg. Merdeka No. 195
Madiun, Sulawesi Barat 62099",tmaryati@example.net,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",+62-019-114-1603,Besar,200000,Retail,"786 Rich Branch
Port Brett, PA 23784",2023-12-03,Analisa Kredit Berbasis Laporan Keuangan,Sales & Marketing,Online Training,8,45,33,10,2,3,5,5.0,2,no,61.142857142857146
22,PD Hutapea Yuliarti,Drs. Jaka Pradipta,"Gang Rajawali Barat No. 4
Parepare, BB 12807",napitupuluasman@example.org,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",(085) 993-8301,Menengah,700000,Group,"87584 Ruth Cliffs
Debraburgh, AZ 38541",2023-12-27,"Antisipasi Pemalsuan Dokumen, Tanda Tangan, dan Mafia Fraud",Sales & Marketing,Online Training,3,83,59,2,5,5,3,3.75,9,no,64.21428571428571
23,PD Irawan Latupono (Persero) Tbk,Vinsen Mustofa,"Jl. Wonoayu No. 9
Kota Administrasi Jakarta Pusat, JB 83381",mahendraradika@example.com,PendidikanAktivitas Kesehatan Manusia Dan Aktivitas Sosial,+62 (0242) 291 3606,Besar,1000000,Group,"79779 Andrea Overpass
Garrettchester, NM 84633",2024-01-22,Graphonomy & Graphology: Pencegahan Pemalsuan Tanda Tangan & Penipuan Dokumen di Era New Normal,Sales & Marketing,Online Training,5,50,88,10,3,3,10,6.5,1,no,74.71428571428571
24,Perum Laksmiwati Kusumo,Baktiadi Anggriawan,"Jalan Peta No. 75
Pematangsiantar, Maluku 88568",prayogahandayani@example.org,Aktivitas Badan Internasional Dan Badan Ekstra Internasional,+62 (0074) 025 0116,Kecil,400000,Group,"9769 James Flat Apt. 458
South Deborahchester, GA 85334",2024-01-04,Financial Fraud Verification Skill in New Normal and Society 4.0 Era,Sales & Marketing,Online Training,1,30,78,5,9,4,1,4.75,3,no,55.07142857142857
25,PT Prayoga Maulana,"Winda Samosir, M.Ak","Jl. Moch. Toha No. 16
Surakarta, SG 40315",lulut28@example.net,"Pertanian, Kehutanan, dan Perikanan",+62 (0934) 598-5561,Menengah,500000,Retail,"82098 Powell Extensions Apt. 928
Williammouth, NH 94127",2024-01-25,Aspek Legal Pembiayaan & Penagihan Kartu Kredit,Sales & Marketing,Online Training,6,47,31,10,4,8,8,7.5,4,no,79.0
26,UD Manullang (Persero) Tbk,Laras Halimah,"Gang Veteran No. 4
Banda Aceh, BE 21849",qyolanda@example.org,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",+62-832-925-7648,Menengah,700000,Retail,"1990 Mary Views Apt. 564
Vargaston, ME 89621",2023-11-28,Antisipasi & Pencegahan Transaksi Pencucian Uang,Sales & Marketing,Online Training,5,68,85,8,5,6,7,6.5,1,yes,78.28571428571429
27,PD Pradana Tbk,Rina Puspita,"Jalan Kutai No. 138
Tidore Kepulauan, Kepulauan Bangka Belitung 95308",putrilaksmiwati@example.org,"Aktivitas Profesional, Ilmiah Dan Teknis",(007) 852-4917,Kecil,100000,Retail,"464 Michele Fords
Port Daniellefurt, VI 77531",2023-12-21,Soft Skills for Credit Analyst & Surveyor,Sales & Marketing,Online Training,3,33,95,10,5,7,5,6.75,7,yes,82.21428571428571
28,Perum Pertiwi Tbk,"Bakijan Pratiwi, M.Farm","Gg. Erlangga No. 9
Sukabumi, AC 82122",palastrilatika@example.org,"Aktivitas Profesional, Ilmiah Dan Teknis",(0464) 077-3043,Besar,1000000,Retail,"391 Joanne Mount Suite 386
Stuartborough, NV 09201",2024-01-02,Advance Commercial Credit Analysis as  a Basis for Business Coach: Credit Skill foundation to Become a Business Coach,Sales & Marketing,Online Training,7,51,25,6,4,1,8,4.75,1,no,56.21428571428572
29,PT Budiman Damanik,Estiawan Hidayanto,"Jalan HOS. Cokroaminoto No. 50
Jambi, Bali 68391",nababanqori@example.org,PendidikanAktivitas Kesehatan Manusia Dan Aktivitas Sosial,+62 (073) 274 3004,Kecil,600000,Retail,"274 Larsen Parkway
North Danielle, IL 28136",2023-12-08,Advance RM training: RM sebagai Business Coach kepada Debiturnya. Phase 1:Business Coach Membuat Bisnis Debitur Sukses dan Sustainable,Sales & Marketing,Online Training,3,52,30,2,9,5,7,5.75,5,no,64.21428571428571
30,Perum Anggraini Megantara,Darsirah Thamrin,"Jalan Laswi No. 33
Tanjungbalai, KI 72544",ibrani25@example.net,Aktivitas Jasa Lainnya,(0895) 760-3596,Menengah,600000,Retail,"6563 Robert Bypass
Andrealand, MN 25210",2024-01-15,Advance RM training: RM sebagai Business Coach kepada Debiturnya. Phase 2: Business Coach Membuat Bisnis Debitur menjadi Level Korporat,Sales & Marketing,Online Training,4,67,98,1,7,2,6,4.0,4,no,63.57142857142857
31,PD Sihombing Mansur,Ir. Cawisono Saputra,"Jalan Cihampelas No. 178
Lubuklinggau, JA 50111",jkuswandari@example.org,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",+62-93-891-7768,Besar,600000,Retail,"93090 Jones Inlet Apt. 106
Hollychester, OK 38123",2024-01-11,"Fraud Prevention & Handling bagi Pembiayaan Mikro: Identifikasi, Investigasi, Penanganan, Aspek Hukum, Trend dan Metode Terbaru",Sales & Marketing,Online Training,4,45,94,1,5,2,3,2.75,5,no,52.35714285714285
32,PT Wahyuni Nurdiyanti,Dagel Simbolon,"Gang Rajawali Barat No. 3
Binjai, PB 14001",hendrasuartini@example.org,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,+62-69-321-4627,Menengah,1000000,Group,"60895 Anita Lane
Millsfurt, IN 65859",2024-01-08,Collection Recovery Section Head Development Program,Sales & Marketing,Online Training,8,65,96,7,8,7,4,6.5,3,yes,86.57142857142857
33,PD Januar Tbk,Najam Mulyani,"Jalan Setiabudhi No. 707
Balikpapan, SN 02433",myuniar@example.net,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,+62-0957-444-4986,Besar,400000,Retail,"8383 Garcia Knoll Apt. 063
Beckyfort, TN 06084",2023-12-12,Collection Target Fixing & Motivation Charge Up,Sales & Marketing,Online Training,5,61,57,6,1,10,6,5.75,9,no,77.92857142857143
34,CV Purwanti Waluyo,"Shania Siregar, S.IP","Jl. Jend. Sudirman No. 644
Cimahi, Jambi 08505",ikhsan12@example.org,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,(035) 304 3998,Kecil,100000,Retail,"244 Lawrence Forge
North Josephhaven, CT 44108",2023-12-18,Collection Negotiation Intermediate Skills,Sales & Marketing,Online Training,1,77,87,6,3,9,9,6.75,4,yes,80.21428571428571
35,PD Hardiansyah (Persero) Tbk,Paris Maheswara,"Jl. Jamika No. 90
Binjai, Jawa Barat 20084",ramadankusuma@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",+62-08-033-3750,Menengah,300000,Retail,"3940 Kimberly Prairie Apt. 139
Huntshire, WA 32358",2024-01-14,Leaders as a Coach & Team Developer in Collection,Sales & Marketing,Online Training,1,34,92,2,5,8,1,4.0,7,no,58.0
36,Perum Sirait (Persero) Tbk,"Baktiono Lestari, S.E.","Jalan Sukabumi No. 760
Salatiga, SB 73476",riyantipranata@example.net,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",+62 (98) 041-9787,Besar,500000,Group,"1819 Gill Estate Apt. 692
Welchside, MT 44574",2023-12-19,"Teknik Penagihan Melibatkan Aspek Hukum (Perdata, Pidana, Pailit, Litigasi, Kepolisian, Menghadapi Pengacara, Penyitaan & Penarikan)",Sales & Marketing,Online Training,5,98,97,4,1,5,4,3.5,8,no,71.42857142857143
37,PD Saptono (Persero) Tbk,KH. Taufik Prasetyo,"Gang Sadang Serang No. 794
Pangkalpinang, AC 35479",putranugraha@example.net,"Kesenian, Hiburan Dan Rekreasi",+62 (060) 506 2286,Besar,1000000,Retail,"9941 Kayla Ways Apt. 605
Amyshire, NJ 17512",2023-12-17,Developing Performance Based Curriculum Training Program in New Normal Era: Creating-Budgeting-Measuring & Evaluation,Sales & Marketing,Online Training,6,39,88,1,4,5,10,5.0,7,no,72.42857142857143
38,PD Saefullah,Mahfud Saefullah,"Jalan Cikutra Timur No. 5
Pekanbaru, SN 15798",jhastuti@example.com,Industri Pengelahan,+62 (18) 762-9635,Kecil,400000,Group,"700 Hawkins Lock Apt. 369
Port Kennethland, MA 64996",2024-01-16,Etos Kerja & Profesionalisme,Sales & Marketing,Online Training,5,99,30,10,7,6,2,6.25,2,yes,74.5
39,PD Wijayanti Marpaung (Persero) Tbk,"Unjani Wahyudin, S.IP","Gang Rungkut Industri No. 27
Binjai, Kalimantan Timur 39099",jaka99@example.com,Kontruksi,+62 (095) 364-7415,Kecil,200000,Group,"60821 Huang Key
Charlesfort, IN 06667",2024-01-02,"Extraordinary Digital Presentation, Public Speaking & Training Delivery Skills",Sales & Marketing,Online Training,2,96,68,9,9,5,9,8.0,2,no,86.28571428571429
40,Perum Napitupulu,Cindy Utama,"Jalan Waringin No. 685
Palopo, JI 93347",samosirgarda@example.net,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",+62 (730) 181-8151,Besar,100000,Group,"13543 Joseph Common
Heatherburgh, NY 29876",2023-12-07,Hak dan Kewajiban Pegawai di Era New Normal: Adaptasi Kebijakan Baru pasca Covid 19,Sales & Marketing,Online Training,1,100,46,9,3,8,3,5.75,6,no,71.92857142857143
41,PT Anggraini Prayoga,Teguh Saragih,"Gg. S. Parman No. 4
Kota Administrasi Jakarta Barat, BT 74028",harsaya35@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional,+62 (102) 487 6363,Menengah,800000,Retail,"622 Ronald Coves Apt. 686
Lake Jennifer, MT 85105",2023-12-14,Mental & Workload Analysis in New Normal Era,Sales & Marketing,Online Training,3,23,83,4,4,2,2,3.0,1,no,42.285714285714285
42,PT Prastuti (Persero) Tbk,"Hj. Farhunnisa Jailani, M.Pd","Gg. Ahmad Dahlan No. 787
Sungai Penuh, Lampung 56112",karma09@example.net,"Kesenian, Hiburan Dan Rekreasi",+62-567-690-7626,Besar,600000,Retail,"491 Jennifer Corner Suite 608
West Gregg, FM 57589",2023-12-10,New Requirement for Professional Industrial Relation Officer in New Normal Era,Sales & Marketing,Online Training,2,30,52,7,5,1,4,4.25,6,no,53.5
43,UD Saefullah,"Vivi Hidayat, S.IP","Jalan Jamika No. 8
Blitar, Nusa Tenggara Timur 44479",respati30@example.com,Informasi Dan KomunikasiAktivitas Keuangan dan Asuransi,+62-001-783-4253,Kecil,400000,Group,"PSC 6947, Box 0148
APO AE 06323",2024-01-23,Persiapan Pra Pensiun,Sales & Marketing,Online Training,5,78,32,1,7,10,9,6.75,7,yes,82.5
44,CV Prayoga Tbk,"Drs. Ulva Rajasa, S.Psi","Gg. S. Parman No. 13
Batam, Kalimantan Barat 01804",sabarsantoso@example.org,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",086 351 3608,Besar,600000,Group,"407 Anne Forks
North Davidview, AZ 00580",2023-12-26,Project Management & Assertive User Handling,Sales & Marketing,Online Training,6,71,47,2,1,3,5,2.75,3,no,49.35714285714285
45,CV Nainggolan Prastuti,"H. Kariman Natsir, M.Ak","Jalan Tubagus Ismail No. 9
Sabang, Sulawesi Tenggara 63588",uyainahakarsana@example.net,Pengangkutan dan Pergudangan,+62 (0495) 693 2574,Kecil,100000,Group,"6574 Alexis Crescent
Kathryntown, SC 75504",2023-12-19,Protokoler & Master of Ceremony era Digital & New Normal,Credit & Collection,Online Training,3,88,63,8,5,8,4,6.25,5,no,77.64285714285714
46,PD Sirait,Siska Rahayu,"Gang Veteran No. 36
Medan, Bali 13712",makara45@example.com,Penyediaan Akomodasi Dan Penyediaan Makan Minum,+62 (281) 402 7351,Menengah,800000,Retail,"096 Hickman Forks Apt. 345
New Brandifurt, OK 34413",2023-12-27,Strategic Partnership - How to Optimize Partnership Efforts for Your Strategic Goals in New Normal Era,Credit & Collection,Online Training,8,48,54,1,1,1,5,2.0,2,no,43.142857142857146
47,UD Namaga,Ir. Gaduh Wastuti,"Jalan Tubagus Ismail No. 79
Solok, Sulawesi Barat 96925",jaimanprakasa@example.com,"Kesenian, Hiburan Dan Rekreasi",(0351) 683 5112,Menengah,400000,Retail,"312 Olivia Spur Suite 655
North Robertberg, TX 68758",2024-01-10,Understanding Millenials - Managing for High Performance and Engagement,Credit & Collection,Online Training,1,87,47,9,9,10,1,7.25,9,no,85.21428571428571
48,UD Safitri,Yono Pratiwi,"Jl. Raya Ujungberung No. 26
Tebingtinggi, Bengkulu 87273",ade79@example.net,"Kesenian, Hiburan Dan Rekreasi",+62 (034) 322-7137,Kecil,1000000,Retail,"PSC 0734, Box 7283
APO AP 01264",2024-01-21,Competency Based Human Resource Management,Credit & Collection,Online Training,7,94,94,2,3,7,1,3.25,8,no,71.5
49,Perum Kusmawati Tbk,"KH. Banara Hardiansyah, M.TI.","Gg. Lembong No. 72
Jayapura, Kalimantan Barat 89694",tsitumorang@example.org,Penyediaan Akomodasi Dan Penyediaan Makan Minum,+62 (536) 704 3941,Kecil,700000,Group,"177 Heather Lodge Apt. 993
Hansenstad, OR 83439",2024-01-13,"How To Conduct TNA, Creating Training Material & Measuring Training Effectivity",Credit & Collection,Online Training,3,67,28,7,8,3,10,7.0,3,yes,73.57142857142857
50,PT Puspasari Tbk,Sarah Lestari,"Gang Suniaraja No. 0
Denpasar, Kalimantan Barat 96695",maya82@example.org,Informasi Dan KomunikasiAktivitas Keuangan dan Asuransi,+62 (052) 596 7852,Kecil,100000,Retail,"41416 Rivas Square
Bushfort, MO 92493",2023-12-13,"Business Acumen: Think, Sense & Act like CEO",Credit & Collection,Online Training,6,45,43,1,9,5,7,5.5,1,no,61.85714285714285
51,UD Haryanti Tbk,"Labuh Sihombing, S.H.","Jalan Astana Anyar No. 840
Solok, Papua Barat 19127",warsawinarno@example.org,Aktivitas Jasa Lainnya,(0147) 017-9430,Kecil,200000,Group,"78544 Matthew Ville Suite 399
Richardhaven, OR 86508",2023-11-29,"How to Recruit, Interview, Select & Place the Right Employee",Credit & Collection,Online Training,4,51,89,4,10,8,2,6.0,2,no,71.42857142857143
52,PD Rajata Situmorang (Persero) Tbk,Jaya Budiman,"Gang Cikutra Timur No. 5
Bekasi, SR 12527",rpurnawati@example.org,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",0879561602,Menengah,700000,Retail,"849 Jackson Squares Apt. 119
Lake Josephstad, MO 36865",2024-01-23,Akuntansi dan Keuangan Perbankan bagi Executive Bank,Credit & Collection,Online Training,3,46,27,9,10,2,9,7.5,6,yes,78.28571428571429
53,Perum Latupono Hakim (Persero) Tbk,Wakiman Zulkarnain,"Jl. Laswi No. 70
Bau-Bau, SB 23996",eharyanti@example.net,"Kesenian, Hiburan Dan Rekreasi",+62 (086) 920-8711,Menengah,100000,Retail,"264 Stacy Centers Suite 703
Port Jason, NC 40961",2023-12-17,Optimalisasi Aset Tetap Perbankan menuju Revenue & Profit Center,Credit & Collection,Online Training,7,69,87,1,3,4,6,3.5,9,no,70.14285714285714
54,Perum Saputra Waskita (Persero) Tbk,"R.M. Prakosa Wacana, S.I.Kom","Gang Otto Iskandardinata No. 47
Metro, DKI Jakarta 03807",rahimahputu@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional,+62-0178-379-9315,Besar,900000,Retail,"PSC 2816, Box 3438
APO AE 44270",2024-01-25,Risk & Governance in Digital Era,Credit & Collection,Online Training,6,58,32,8,5,1,7,5.25,2,no,61.785714285714285
55,CV Yulianti,Liman Utama,"Jalan Cihampelas No. 8
Tidore Kepulauan, Sulawesi Tengah 68641",isudiati@example.org,"Aktivitas Profesional, Ilmiah Dan Teknis",+62 (964) 549-6179,Menengah,1000000,Retail,"369 Johnson Tunnel
Kimberlyborough, MD 10823",2024-01-17,Risk Analysis: to Reduce Losses and Increase Profits,Credit & Collection,Online Training,5,66,29,8,5,7,3,5.75,6,no,70.35714285714286
56,UD Hardiansyah Hakim,Cut Ulva Safitri,"Jl. Peta No. 598
Tegal, NB 27648",lidya83@example.com,"Aktivitas Profesional, Ilmiah Dan Teknis",+62 (594) 340 2570,Kecil,300000,Group,"10935 Hansen Unions
West Lindseyfurt, IN 58639",2024-01-05,System Application & Technology Knowledge & Skill for Transaction,Credit & Collection,Online Training,9,29,51,9,6,3,10,7.0,5,yes,82.85714285714286
57,Perum Hutasoit (Persero) Tbk,Viman Setiawan,"Gg. Ciwastra No. 23
Sungai Penuh, Jawa Tengah 57070",martakadabukke@example.net,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",+62 (879) 200-6232,Menengah,100000,Retail,"60086 Johnson Dale Apt. 793
North Derrick, AZ 17686",2024-01-19,"Tax Principles, Practice, & Reporting",Credit & Collection,Online Training,2,76,53,6,5,6,4,5.25,3,no,63.07142857142857
58,CV Suryatmi Suryono Tbk,Olga Kuswoyo,"Jalan Rajiman No. 50
Tomohon, Kalimantan Barat 65523",qorisiregar@example.com,Aktivitas Jasa Lainnya,+62-99-735-5011,Besar,500000,Retail,"948 Brittney Roads Apt. 669
Jasonport, NV 62360",2023-11-29,Financial Credit Rating & Scoring,Credit & Collection,Online Training,3,77,23,6,2,6,1,3.75,6,no,53.92857142857143
59,PT Permadi Manullang,"Aslijan Wahyudin, S.T.","Gang Dipenogoro No. 866
Salatiga, Jawa Barat 23797",rmegantara@example.com,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",+62-005-070-0328,Besar,600000,Group,"Unit 5263 Box 0597
DPO AP 42192",2024-01-22,Cash Flow & Credit Management,Credit & Collection,Online Training,9,92,21,1,4,9,7,5.25,4,no,72.21428571428571
