auction_type,nama_barang_lelang,spesifikasi_barang,keterangan,nilai limit,harga_lelang_invoice,TTD,nomor_invoice,harga_sewa_kpr,tagihan_kartu_kredit,belanja_makanan,transportasi,cicilan,gaji_bulanan,bonus,pengurangan_gaji,pendapatan_tambahan,tanggungan_1,tanggungan_2,tanggungan_3,tanggungan_4,tanggungan_5,laporan_rekan_kerja,fraud
Perhiasan,kalung,Kalung liontin mutiara dengan desain jalinan,,6533961.961664952,6601134.519705176,True,2130.0,823507,0,1386565,1435981,4106253,23710325,0,1659406.4875359596,0,0,0,0,4228823,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,MacBook Air M2,Baru,22707603.492106847,25477664.043984883,False,5643.0,1746743,0,1006397,1120207,8084448,28988312,0,2294596.415155682,0,2806678,0,0,4446847,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Yamaha R15,Bekas,31871698.97698737,85038013.72499879,True,9239.0,885522,5577682,1399662,740760,5170951,6700067,0,609425.7160254968,0,3801328,133493,0,0,0,3,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Elektronik,laptop,Dell XPS 13 9320,Bekas,14214464.08562252,21692625.336109206,True,7590.0,1374036,0,1015011,395540,7963098,32722000,0,2742403.3061498683,5154884,0,2388677,330221,0,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor bebek,Suzuki Smash,Bekas,10219641.390508177,8977185.383340374,True,6999.0,1867522,8698136,1367816,570996,3862853,23887452,2955418,1433379.628016647,12824250,0,0,3278665,0,3081596,3,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,14054779.495888948,17057252.43933955,True,4527.0,1496235,0,1210158,643335,7281737,25298572,2802472,2145045.9642837993,2384281,4391819,2846926,0,3824973,717371,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,8382327.706022501,7511093.597997461,True,9916.0,1412573,6061586,966053,884192,0,11394259,0,829462.5245826474,0,0,0,0,3606751,1535018,2,Data mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 250 gram,,8382327.706022501,24576656.66525548,True,,1207448,9618683,1150037,967507,0,14654344,2005780,975973.8151347047,13546780,2869480,4310556,4359803,0,2157118,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Baru,13405233.190775257,11974321.093838926,True,,800799,3902287,797157,1033417,3544662,26046267,3799494,2315666.995234129,0,0,1344634,2813181,4449049,0,2,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,13038551.364906397,10241541.41266752,False,3572.0,454767,8952386,1158586,750849,3843469,27621056,0,2634284.5410802574,0,0,0,0,0,4382832,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung liontin mutiara 1 karat dengan emas putih 18 karat,,26590816.99027002,76758652.98708111,True,6459.0,350437,0,1203431,1143503,8474959,13584380,2942188,1057545.0851648452,14348882,0,0,0,3021952,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Kawasaki Ninja 250,Bekas,33023997.605506167,54900785.99839856,True,9199.0,1112168,0,1375016,1457817,2878803,27736704,0,2226924.682441547,0,0,0,0,3362228,0,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 253 m2 Bantul,Bekas,805598502.0,2011348360.3819423,True,3846.0,1154914,0,1443778,645598,2783693,30220755,0,1576288.8281077638,0,2977416,0,438195,850494,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,1969 m2 perkotaan Yogyakarta,,11347055588.0,27153665698.950996,True,1370.0,1400902,3778506,1168202,726263,0,21899165,4580342,2094631.2091085764,4071391,2586735,1493999,0,0,3510152,6,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,7338782.131452221,15818071.825202715,True,,442736,8420721,837095,1416118,0,11048928,0,957429.6555130878,0,3440630,2344524,3312646,2843945,1902651,6,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin perak sterling dengan batu permata biru,,741613.755455983,640858.6147620023,True,,612827,0,1480000,1364641,0,32599628,3154595,2880606.259218561,16456370,382823,0,0,979868,294110,4,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,HP Spectre x360 14,Bekas,14233894.229843803,26028241.897695314,True,1030.0,501784,0,983615,1334386,6608941,19084969,0,1102668.6131728538,0,953845,0,0,1156789,0,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung perak sterling dengan liontin berlian tunggal,,972030.3666781073,1621762.2736454639,True,1681.0,351958,0,1369636,1427691,0,34298950,0,2225527.6110950643,0,348205,0,0,0,1650389,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 88 m2 Yogyakarta,Bekas,342348807.0,946921308.5479822,True,3133.0,212692,0,1087658,452255,0,28292959,2167705,2354456.396559822,6195269,0,0,966506,0,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Suzuki Ertiga,Baru,253972281.07584053,210334122.77319407,True,9639.0,1043030,4284400,1286863,970350,3451616,10335668,0,578173.0479229633,0,0,0,1705313,0,0,4,Data mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang perak sterling dengan liontin mutiara dan berlian,,845112.5600734863,541023.1435924462,True,5753.0,1149925,0,1446164,485671,0,29406009,3053465,1694766.7121199786,11697695,0,0,4863660,0,0,1,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung perak sterling dengan liontin mutiara dan berlian,,956242.1321847453,1866017.5879758403,True,,449337,7604029,1187535,512486,0,5549862,0,334818.954710665,19450382,882715,4707353,4346018,0,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Porsche 911,Baru,8975680230.195599,16385266516.724297,True,3332.0,1782687,4940603,915013,366764,0,32995607,3874693,2055570.229540133,0,3313283,0,4587364,4088448,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,19723188.22454152,51739311.372930445,True,1331.0,1810360,3972935,819390,1009513,0,16240943,0,1401437.6339367186,4043717,0,0,362408,3201498,2638526,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,1750 m2 pedesaan Bantul,,5407837750.0,8404312160.113998,True,,382498,9935069,787739,1281751,0,5828073,0,443778.5198006349,0,3104392,3176505,0,2828556,4687223,5,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Baru,19016762.54551173,54230141.8211979,True,5181.0,515108,1830945,1339355,1498121,9551894,33145215,2405948,1658823.8879555287,2438506,1118287,3588258,0,0,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung mutiara multi dengan emas putih 18 karat,,10324084.02802865,21616011.28984621,True,3431.0,1953840,0,1353466,594795,6023608,34295562,3993465,2747141.2193244263,5268202,0,3098043,0,4362090,1014001,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,3782 m2 pedesaan Mojokerto,,21538002122.0,23561386583.23039,True,8383.0,1883344,8262330,796919,876741,5103357,21957952,3324074,1214494.0758022764,0,2706708,1189169,0,0,1854344,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Yamaha R15,Bekas,34698381.812622055,86468313.30099155,True,5935.0,1311966,8682757,1270406,873338,0,11251584,2082396,707048.0129238503,17704020,3522449,0,3059215,3795534,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,12706132.738864774,31258075.428072304,False,,1311440,9148431,1129119,1358559,4667497,7014496,2294735,653300.4112198941,0,0,1075690,3308800,1536640,2023919,2,Data mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Baru,10894013.75987449,23602895.253506575,True,7205.0,485722,0,860499,926737,4412605,28761550,0,2538751.734261934,1568028,4325462,4723981,860282,2208740,3646372,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,21929198.772395484,35117580.946731046,True,5685.0,670981,2987433,808396,388271,2900760,18690129,0,1007447.3644302376,17126404,4201105,2756740,0,0,4026416,6,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,14920701.404277965,23007134.980741728,True,5428.0,413319,0,1006988,954347,9549439,10375537,3358416,692768.4267075474,10612952,0,4970212,0,742494,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,5647341.120536594,16620406.300669419,True,9427.0,962113,9556159,1122879,371411,0,24892657,1858498,2330602.642550091,13937149,4322088,0,0,0,0,6,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin solitaire emas kuning 18 karat dengan berlian berbentuk hati,,13134690.370265296,15895745.233975723,True,5584.0,559497,0,1423778,1108045,8552946,12425452,1612645,1190122.589532853,0,2875299,0,0,1065455,1037492,1,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Baru,29882478.642362155,53569351.58898644,True,7867.0,855529,9170169,956700,1013742,0,23724592,0,2108292.472719612,0,4115191,3868371,3668609,0,0,6,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Properti,Tanah,3129 m2 pedesaan Depok Timur,,16081545564.0,29454635726.933823,True,9023.0,851280,0,1253232,1041478,9331773,16279530,0,1032266.5482003374,0,4148653,0,1449754,4585896,0,3,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung emas kuning 22 karat dengan liontin berbentuk hati,,5430659.963080536,13910324.045686048,True,2060.0,1519481,9438219,1066535,567620,0,19844065,0,1385358.7956868974,0,163479,3229197,2806718,662139,1237101,3,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Bekas,8793350.799262438,22062850.80837956,True,3077.0,914240,1529561,1327687,1146976,9457359,32605328,3006284,1894706.1976681908,5326335,0,0,3720608,615955,4874058,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung liontin mutiara dengan desain jalinan,,5614151.484761824,9800022.634384913,True,7423.0,459111,0,1381710,353693,8005002,28584186,0,1850677.462644328,10660224,0,4709331,730642,4150611,0,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,1926 m2 perkotaan Medan,,21393588132.0,31145487308.564606,True,2926.0,864533,9743916,1378580,530006,2981588,24000508,0,2049235.9022819218,4349198,0,0,0,0,167321,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Porsche 911,Bekas,3229653956.9563365,8641989403.19091,True,1373.0,1342025,5471439,1327576,1343306,3003140,30455830,3273352,2370809.1070579886,16798435,1611228,0,2314682,306269,0,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,1968 m2 pinggiran kota Surabaya Barat,,19059525024.0,44211905763.9863,False,7654.0,976718,7501713,1120744,1244655,9324970,13026840,3490876,1098169.458969109,9646776,2323602,4555335,1364945,0,4440351,3,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Elektronik,Telepon genggam,iPhone 14 Pro Max,Baru,34975117.95773232,22244290.924649566,True,,1844376,0,1090993,1497642,0,15210375,0,1357058.105977937,0,0,0,818251,0,2659191,2,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,6398250.2981738765,17695680.56667954,True,2344.0,568516,0,990653,1311310,7208651,13141975,1583001,960392.2284240564,0,0,3471972,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Bekas,9994455.182912668,17916953.329764687,True,2039.0,212715,0,957834,929913,0,6432187,1314015,414458.3840385525,0,3028112,4147639,0,4272810,1820721,4,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin kawin emas kuning 14 karat,,3949248.3120089266,5175548.882401319,True,2333.0,1045214,0,1201263,1197392,7265106,19220710,0,1040226.1193614322,0,839055,0,0,0,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,11153755.369106924,21718672.30005326,True,8704.0,1500022,9562151,1473452,1490704,5951135,12531766,1412456,722504.4795759114,0,0,0,2679860,4166893,3808508,1,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Properti,Tanah,2089 m2 pedesaan Mojokerto,,11306476443.0,25176166693.884914,True,3316.0,1324448,0,973597,487584,0,8278059,0,433356.2385325787,6357302,477453,0,0,3312636,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor trail,Honda CRF 150L,Baru,35384000.0,40011745.35659271,True,2783.0,920728,5564120,970943,680391,0,13274429,0,742985.6786955307,0,0,2770294,0,1232222,2344753,1,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Kendaraan,motor trail,Kawasaki KLX 150,Bekas,22670431.394375294,23868168.619176537,True,1816.0,1948552,0,1479558,902745,0,19567285,1961352,1241582.9991429327,0,0,4251106,0,1571799,0,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,4279 m2 perkotaan DKI Jakarta,,118884650841.0,289633264121.3023,True,1647.0,298769,8473605,752246,1378848,0,25211704,4089997,1556790.7870999433,7965172,0,0,552515,0,3958205,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,kalung,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,10464166.31031483,6451493.619845994,True,,1547707,4931288,812876,910920,0,24631344,2957863,1806680.2320329598,8921967,0,0,0,0,0,2,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,21415119.30391054,25292661.97465547,False,3411.0,715784,0,1434087,615288,7926000,34056245,0,1887366.0978240562,0,0,0,1123917,1602715,0,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 217 m2 Medan Barat,Bekas,518320391.0,384606607.20158195,False,6873.0,970485,5941703,1063618,1213774,0,34176544,0,1922884.9260651849,0,0,0,0,0,0,2,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,27320131.08813673,56994251.6707584,True,8432.0,1806148,9396857,1169263,955744,0,6656908,0,493288.41084303195,0,0,0,2766737,2820009,0,2,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Properti,Tanah,2298 m2 perkotaan Medan,,27396726126.0,37316263436.503784,False,3625.0,904702,0,1300406,473724,5166858,15900838,0,1398573.6837528758,13247640,0,0,3977606,0,3740771,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
