collateral_auction_type,collateral_name,collateral_specification,collateral_info,collateral_market_place,invoice_auction_price,invoice_ttd,invoice_num,mrent_price,cc_bill,food_cost,trans_cost,employee_installment_loan,monthly_income,Bonus_income,salary_reduction,add_income,dependents_1,dependents_2,dependents_3,dependents_4,dependents_5,coworker_report,fraud
Properti,Tanah,3799 m2 pedesaan Depok Timur,,15423814633.0,29167963157.919285,True,3210.0,852623,8964339,880149,808141,8306853,8617918,2130254,694217.2935161566,4133878,0,1841757,2508313,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Baru,22882630.384473935,26936481.679858245,True,6007.0,1848410,0,1267556,621611,0,20598208,0,1327097.3811833134,0,0,2355951,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,7040161.74751573,5161876.536834183,True,4965.0,895636,0,886991,1161191,6954943,7357826,1226977,418251.04615057126,9786092,0,1347924,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 266 m2 Makassar,Bekas,1848168963.0,5216843789.2696495,True,4430.0,647720,0,1252316,655140,0,23288243,0,1562042.9606875055,0,3811916,1397161,0,0,648743,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 192 m2 Kulon Progo,Bekas,656401674.0,1627135229.0137835,False,5098.0,519721,0,1186931,496191,2955337,8603394,0,765383.9568016969,0,3387540,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin solitaire emas kuning 18 karat dengan berlian berbentuk hati,,15805449.151230427,10731454.349912057,True,3256.0,504098,9722910,1185052,685691,0,32143342,0,2904080.4518988356,0,3394074,473067,0,3098345,1217371,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Suzuki GSX-R 150,Baru,36130175.894149505,104188213.80984604,True,1219.0,270593,0,1442641,584324,0,27108055,0,1546388.6076823308,18336729,3548787,924043,0,3430916,3369131,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 50 gram,,36130175.894149505,59546527.78291019,True,3054.0,1477055,0,1423871,646765,0,20992415,0,1954808.4849210568,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Yamaha Vixion,Bekas,22394712.49652988,37907801.61168553,False,,881905,9089666,1317602,1412281,3205357,26354158,0,1459664.5181176886,0,4249296,2382230,1679538,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin perak sterling dengan batu permata opal,,1061787.5981427066,1550343.4127828632,True,1297.0,592160,0,1012453,660776,0,26718997,0,2497360.350323274,18629192,207937,0,4061069,3149133,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Bekas,18176076.807943434,34416947.3729235,True,9136.0,932890,0,862079,865790,8228281,8563564,0,631881.7357784106,0,0,0,0,0,1340212,1,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Baru,21898183.24270087,63472540.661559105,False,9501.0,482547,0,850435,1182383,4043775,15630417,4268715,1339795.2885948694,9832957,0,0,3111638,1029482,1826536,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 5 gram,,21898183.24270087,19763611.222146623,True,1519.0,704777,0,1255609,1213203,3161049,29712280,0,1833880.5719805711,0,0,4621200,531601,4906026,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2579 m2 pedesaan Tangerang Selatan,,14862305043.0,40094287486.47629,True,2609.0,249525,0,1454662,788465,0,8970441,1463201,486227.07377148926,6303591,0,4737993,0,3836552,1363630,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3483 m2 pinggiran kota Surabaya Utara,,37134304038.0,83453506047.33882,True,3248.0,1489200,2707711,797357,1150755,4705422,25635990,1075843,2553262.2077035774,0,0,4367687,0,0,4547252,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Porsche 911,Bekas,12661392113.790615,9263258431.077894,True,8133.0,245637,0,1211316,514837,0,32741625,0,2339262.6364886663,14048945,0,0,1309398,4736153,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,11402345.703688398,25760378.25674653,True,3256.0,750621,5385219,867881,795000,7552082,7536746,1085025,613566.4135989184,6870332,0,0,185632,513191,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,MacBook Air M2,Baru,24657726.754637085,35380891.91926504,True,1634.0,1207625,3282206,820198,990090,2407107,29943617,4958233,2030000.3460807994,0,0,1632740,0,3005776,1813819,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4788 m2 perkotaan Palembang,,31177416312.0,71942693248.83066,True,6061.0,304327,0,975694,430912,8282304,10602948,0,751099.9835547957,10371675,1169867,0,3777343,990038,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,18415111.681675397,50537445.803697124,False,9959.0,1825368,0,980877,1462968,0,12450650,0,895628.810128124,0,2909710,3195815,1227135,189370,3130450,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,17821707.19012826,43768534.93295651,False,7453.0,1278874,0,1173661,653245,0,18133916,0,1331525.6416150846,11496112,0,0,0,0,1431269,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,5632282.0505189,10976800.616076704,True,2393.0,653068,6465063,1291043,573528,0,23280091,0,2198142.6230831384,15778660,2904056,94599,1184614,22751,3331991,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 10 gram,,5632282.0505189,8980510.105542157,True,5027.0,1151441,0,943323,1381435,0,26608187,0,1367040.9433755782,12781437,3109831,0,4643924,0,4942974,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin kawin emas kuning 22 karat,,6905716.5266317725,16459041.331364913,True,7914.0,854903,0,1453777,1173512,2270655,27779069,0,2054636.8015761683,0,3644904,2826913,4493154,3989594,3538359,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung liontin berlian dengan setting halo,,15793478.731403826,28531814.60848639,False,9741.0,1291331,8332576,834921,1326114,0,32761685,0,2093360.2448373903,0,0,0,2753822,2748536,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,8860816.449141694,19725229.070421226,False,7986.0,1552759,6676988,1058503,569097,0,12988345,0,752277.9448154548,0,0,0,1515943,0,807980,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin kawin emas kuning 22 karat,,7346899.153145358,8972206.750951517,True,4774.0,1729274,0,1320061,758661,0,19836894,0,1490754.8517689644,5913392,0,0,1672329,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,18982704.903962925,21257351.11290577,False,3884.0,1451387,0,755681,780707,0,5260862,2777005,318001.71999707044,19331187,1678010,862903,0,1297391,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4767 m2 perkotaan Batam,,47075445459.0,41673355256.16786,True,7466.0,484505,0,1205131,527024,5785180,17170151,4751961,1658880.8046732116,0,1239369,981082,4135925,1315424,780228,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Porsche 911,Bekas,8589607594.762285,20334118847.27452,False,6982.0,1095272,2954870,1437500,1326930,0,11317687,4164610,766680.5641487705,13133358,0,0,2696094,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Bekas,10469157.093045097,23862805.73044997,True,7590.0,1956027,0,960754,467598,0,6220062,3546448,576340.3464894588,17277033,0,143073,0,0,0,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,22197604.524749327,31890214.764851123,True,3709.0,1470185,0,876445,1326332,0,9181539,0,810451.1756765243,6348177,0,0,0,3335055,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 226 m2 Makassar,Baru,1499753218.0,1614992829.6836092,True,,1333038,1538228,1220441,958606,9283028,14463840,0,976080.7136842058,0,3728319,4085549,1457426,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Asus ZenBook 14X OLED,Bekas,12461813.034062892,12646324.192391694,True,3904.0,593051,5500087,895502,1169039,7309503,24352723,0,1656069.8411809283,17694867,0,0,1725466,701052,3272189,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2710 m2 pedesaan Sleman,,10972687020.0,25991757537.181374,False,8263.0,1899101,3589466,974903,379010,0,25535580,2234118,2395683.5211187345,14048424,0,0,866269,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Lenovo ThinkPad X1 Carbon Gen 10,Baru,21969632.31270375,20966694.429701436,True,5206.0,1223804,4362373,1496598,1174584,0,9084686,1116235,783225.5517752481,19095830,0,0,3748452,2139878,3990223,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Xiaomi 12S Pro,Bekas,12089526.877252303,14019636.265892118,True,7612.0,1792742,0,1365654,904402,5037981,30080375,0,2022167.7124434637,0,4837257,2291771,805235,1915210,1634143,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,5241245.546539771,14586912.985265277,True,9131.0,1844875,0,974218,468472,5388864,14716174,1704670,841150.5881862178,15703675,2498789,3381476,0,4323846,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Porsche 911,Baru,8006945201.846918,15426781530.89385,True,3920.0,1593977,0,910821,1451368,4793865,27440796,0,1932719.6945138653,0,0,0,4598165,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Kawasaki KLX 150,Bekas,23179692.736538958,25999674.236561324,True,7465.0,936696,0,1412604,683412,0,21416313,0,2097067.0347875657,10252752,3495559,971138,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Baru,18637697.882553503,11540344.230681745,True,7003.0,344601,0,1139953,721363,7135205,33596820,2924840,2911254.217523146,14701279,0,4636691,1791645,3650611,2974636,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,BMW Seri 3,Baru,1622272073.4330547,3667937503.5355654,True,5353.0,1428277,0,810588,957672,0,33110103,2326445,2414292.647846131,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Asus ZenBook 14X OLED,Baru,15130050.887340875,24105101.738726683,True,,1117794,0,1027394,1284515,9866736,26709521,0,1849798.0831413853,16758873,2028680,3498491,555717,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Vivo X80,Bekas,8032661.6182705145,12053466.861376386,False,4903.0,1431738,0,1096791,862617,0,7059821,0,607626.4404393005,0,0,201727,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,14401254.433095511,16467258.31793113,True,3195.0,772791,0,984780,391460,0,11170796,1513845,1056815.6036051593,0,2686880,0,1310061,4015279,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3339 m2 pinggiran kota Medan Barat,,28262100699.0,52788608931.448135,False,6358.0,1785928,0,1047189,845060,8816077,21251969,0,1712891.6147429745,0,0,3203631,4032017,3421621,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung emas kuning 22 karat dengan liontin berbentuk hati,,6514363.1753098555,19267146.637671176,True,4514.0,327506,3417166,1260053,1336791,5336064,23679022,3686764,1804070.2503978857,2465920,718806,0,0,0,4630590,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Bekas,13932715.939846221,32268772.349259898,True,4013.0,1286132,2290441,1335097,943605,3450735,23769654,3178982,1773775.30584321,0,0,2607193,0,820634,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 82 m2 Bekasi,Baru,1251470895.0,1523407914.1379628,True,7955.0,641340,0,1021463,945549,2338966,15797197,2604273,1258669.4233064495,0,0,942858,0,4712099,722314,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,8002069.77572262,19501880.44298297,True,4718.0,1217108,983084,1397933,1459034,0,21616242,1883359,1266799.1560454834,15810996,0,0,4778569,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 1000 gram,,8002069.77572262,22322755.97117515,True,6194.0,876485,9557959,1072985,736826,0,15861318,1399610,1420325.3069353641,0,614403,1784664,4303857,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,HP Spectre x360 14,Bekas,16458578.492282972,31633492.98379429,True,6052.0,325829,0,1470478,883455,0,34205033,3968458,3084008.0316045256,0,0,2224248,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Toyota Avanza,Baru,267220134.93564883,639217561.7312522,True,8659.0,985620,0,828202,714566,2533424,19151987,3426339,1455691.1952346594,9102492,931994,3090481,1897414,1903470,4070146,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Bekas,12988193.493650295,35337794.0182237,True,2354.0,1275925,3941097,985807,750465,0,8549041,4100333,799431.8507255967,2184320,0,0,0,2969274,1078683,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Lexus ES,Baru,1574414994.1611805,1543913797.2457504,True,4777.0,864934,6001986,1301507,1449936,7340381,7689122,0,409657.27325278724,9597928,2918329,0,4146898,4406809,4592331,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Mazda CX-5,Baru,525627900.277865,456321557.0413828,True,9653.0,378611,7746110,789441,814207,2390842,24444527,0,1670262.1666250902,0,0,0,0,4325035,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang perak sterling dengan liontin mutiara dan berlian,,968106.655981203,2467317.5228562495,True,9246.0,1595011,2380519,1219225,968471,0,23260120,0,1719815.6024336834,9207670,0,0,3090911,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,6787881.394851044,7389389.324172336,True,3729.0,390560,0,1123848,371241,0,27049243,0,2199377.7315972825,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin perak sterling dengan batu permata biru,,839759.5631416522,538286.241724953,False,8578.0,1717466,8442557,1097845,447293,0,34770875,0,2441929.653225649,0,0,3083046,3886575,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2098 m2 perkotaan Semarang,,15376697266.0,38264863253.978424,True,5953.0,1746884,0,1381719,1171718,5532918,16607358,2512229,1066220.4164534488,8749520,0,0,4490899,742939,1184212,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Bekas,14954958.482262427,42363890.025914885,True,6304.0,1282654,0,1351150,595493,0,23057938,3885489,2148981.510943019,14697042,1930396,2112073,352863,4866246,1474224,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Kawasaki Ninja 250,Baru,45836304.44491109,53253251.86850112,True,7154.0,1343131,0,1009569,654064,0,9998048,3100329,879807.2137837377,0,2339320,3692316,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,iPhone 14 Pro Max,Baru,25019471.9022068,19709165.87450612,True,2232.0,1952456,0,1314003,686552,4134843,5574365,0,426383.65229527606,0,687755,4411213,0,1706293,31498,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,12348695.685839765,17469946.58006496,True,7510.0,1586004,6665635,1427089,391227,0,22030224,3964399,1839538.6090155824,789097,0,2383052,555145,880284,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Gelang mutiara multi dengan desain chevron,,5470143.257766819,9084360.06754198,True,8963.0,1847118,0,849908,1362440,9105350,32424669,0,2311632.207217658,0,0,1719786,0,3030203,2949788,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Toyota Rush,Baru,288649625.04758924,649200170.619635,True,7633.0,901836,5399466,1351712,923956,2737066,26492487,4762564,1881376.376273995,0,0,347089,272277,0,1133346,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 50 gram,,288649625.04758924,830418158.9740329,True,8406.0,1394293,0,1311531,560134,0,6113463,0,514546.43886478833,0,3801647,3324548,0,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 187 m2 Mojokerto,Bekas,900691874.0,2391930284.190723,True,1594.0,963944,2591514,838875,1044211,3215054,34779095,2413678,3305575.8240016517,11220090,2774691,3598384,0,0,3587654,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang perak sterling dengan liontin mutiara dan berlian,,896857.6304771637,2430735.7603180986,True,,1310948,0,1281267,1125707,0,13258678,2910217,1070942.6687164777,0,1380232,412529,0,0,4256068,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 239 m2 Depok,Bekas,726863815.0,755644512.9611516,True,7459.0,1730923,0,1479625,1110152,0,14355533,0,1107956.2429896411,0,402388,0,1412816,2194763,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,HP Spectre x360 14,Baru,17089139.308362886,30198650.448816016,True,9154.0,456398,4811429,771373,1439105,4279508,23558873,3576174,1546488.838651197,0,2385727,0,1152985,1996047,1403687,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Bekas,16082325.69478394,24892696.687891886,True,7606.0,727477,9855891,1274627,468318,0,23174718,0,1434890.2581217298,0,2712217,0,0,4412520,1988541,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,25307057.57205669,25269554.61861412,False,1683.0,274195,1242277,1409016,527103,9775381,5821302,0,454942.62892612733,679344,1849961,0,0,1324293,2504031,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,19828982.927423067,24850787.3643465,True,5619.0,1319521,2283120,1175376,355722,2456511,20551174,0,1727458.7105607498,7612751,968720,389623,0,0,3934200,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Baru,23008761.903556023,32861506.218438424,True,2526.0,859237,0,1326641,919758,4239326,20655946,2309685,1745167.841498192,17662805,2029171,1047603,0,174828,659001,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Baru,11999334.284529679,18627771.76753983,True,3447.0,1925942,0,1009327,971232,0,30595227,0,2295270.405412406,0,0,207966,2287518,4319592,4575697,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 189 m2 DKI Jakarta,Bekas,3412919159.0,7743730806.866611,True,,979635,0,1400511,665999,0,24002817,0,1770089.6389850199,0,0,2286602,0,961359,718694,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
