nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-14 01:10:00",1340,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-01-14 01:10:00",1450,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-09 19:20:00",810,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-14 01:40:00",120,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-14 01:40:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-14 01:40:00",5830,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-14 01:03:50",100,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-14 01:40:00",-30,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-14 01:40:00",2290,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-14 01:40:00",1400,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-14 01:40:00",1350,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-14 01:40:00",-2020,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-14 01:40:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-14 01:40:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-14 01:40:00",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-01-13 18:30:00",3340,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-14 01:30:00",40,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-01-13 23:00:59",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-14 01:40:00",1780,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-14 01:40:00",2120,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-14 01:40:00",1650,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-14 01:40:00",1330,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-01-14 01:40:00",1450,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-09 19:20:00",810,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-14 02:10:00",120,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-14 02:10:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-14 02:10:00",5820,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-14 01:03:50",100,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-14 02:10:00",-30,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-14 02:10:00",2330,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-14 02:00:00",1400,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-14 02:10:00",1390,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-14 02:10:00",-2020,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-14 02:00:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-14 02:10:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-14 02:10:00",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-01-13 18:30:00",3340,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-14 02:00:00",40,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-01-13 23:00:59",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-14 02:10:00",1780,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-14 02:10:00",2120,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-14 02:10:00",1660,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-14 02:10:00",1300,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-01-14 02:10:00",1440,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-09 19:20:00",810,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-14 02:40:00",120,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-14 02:40:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-14 02:40:00",5820,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-14 02:00:48",100,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-14 02:40:00",-40,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-14 02:40:00",2340,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-14 02:40:00",1440,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-14 02:40:00",1410,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-14 02:40:00",-2000,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-14 02:40:00",590,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-14 02:40:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-14 02:40:00",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-01-13 18:30:00",3340,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-14 02:30:00",30,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-01-13 23:00:59",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-14 02:40:00",1780,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-14 02:40:00",2130,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-14 02:40:00",1780,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-14 02:40:00",1370,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-01-14 02:40:00",1430,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-09 19:20:00",810,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-14 03:10:00",110,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-14 03:10:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-14 03:10:00",5820,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-14 02:00:48",100,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-14 03:00:00",-40,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-14 03:10:00",2330,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-14 03:10:00",1460,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-14 03:10:00",1470,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-14 03:00:00",-2010,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-14 03:10:00",610,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-14 03:10:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-14 03:10:00",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-01-13 18:30:00",3340,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-14 03:00:00",40,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-01-13 23:00:59",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-14 03:10:00",1770,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-14 03:10:00",2120,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-14 03:10:00",1750,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-14 03:10:00",1440,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-01-14 02:50:00",1430,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-09 19:20:00",810,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-14 03:40:00",110,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-14 03:40:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-14 03:40:00",5810,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-14 02:00:48",100,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-14 03:40:00",-40,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-14 03:40:00",2290,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-14 03:40:00",1480,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-14 03:40:00",1470,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-14 03:40:00",-2020,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-14 03:40:00",590,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-14 03:40:00",500,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-14 03:40:00",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-01-13 18:30:00",3340,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-14 03:30:00",40,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-01-13 23:00:59",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-14 03:40:00",1770,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-14 03:40:00",2130,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-14 03:40:00",1710,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-14 03:40:00",1440,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-01-14 03:40:00",1420,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-09 19:20:00",810,"Status : Normal"
