collateral_auction_type,collateral_name,collateral_specification,collateral_info,collateral_market_price,invoice_auction_price,invoice_ttd,invoice_num,mrent_price,cc_bill,food_cost,trans_cost,employee_installment_loan,monthly_income,Bonus_income,salary_reduction,add_income,dependents_1,dependents_2,dependents_3,dependents_4,dependents_5,coworker_report,fraud
Elektronik,Televisi,Sony A95K,Bekas,16278157.59341319,21256821.570808362,True,9630.0,1492764,6815565,1245949,1307872,7045292,31056210,0,2557793.748453861,0,0,0,4792628,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MacBook Air M2,Baru,23915745.100652575,55108302.84352931,True,9531.0,1432881,1142563,1322290,445347,0,18809693,2216198,1354771.9212277343,10140026,0,0,0,3393596,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Acer Swift 5,Baru,10639799.666984126,11303324.937071387,True,5015.0,707520,4358243,1082462,1116279,0,29049413,0,2899732.3414580934,0,1537149,3335178,1530153,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung mutiara multi dengan desain chevron,,13795791.301045727,38061195.05951878,False,6222.0,1372767,567534,930582,1039729,0,8181106,0,622879.4758267897,4498320,0,3696830,1914418,0,4256259,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Honda CBR 150R,Bekas,30421823.624148414,36329273.169478744,True,5641.0,1335667,9592230,1045281,1069890,0,26369797,0,1755915.7848496824,0,0,2222419,3526776,4520811,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Daihatsu Xenia,Bekas,125954994.28312609,342710098.9355622,True,6361.0,1496786,4558976,1087412,688870,6947543,20168318,0,1265014.8180422375,0,0,4255885,0,0,2126368,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Suzuki GSX-R 150,Bekas,27764527.76823661,61908057.94286965,True,7145.0,431845,5983906,1195243,1405816,0,29014079,4410057,1898616.2173072204,18566913,904111,2545029,1307332,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Baru,25928090.22404873,57666888.03768447,True,7442.0,301993,0,1227172,1327140,5901404,30414019,3568799,1858557.9627531301,0,0,4823167,861562,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,6348527.308776876,16127866.779619958,True,3805.0,399042,4608412,1295206,573947,0,19484931,0,1334195.390241348,12102447,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3489 m2 pedesaan Kulon Progo,,17237477769.0,42441277548.14082,True,9755.0,373062,2612383,837585,490407,2017299,12955514,1482002,861714.9515010082,15723849,2991860,0,1521778,3565629,2987506,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,11570028.25593002,18257869.167338505,True,3458.0,629194,4887681,1448893,1033331,0,5357476,0,527403.0556426067,13784531,2234213,2811010,1215802,1650383,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2625 m2 pedesaan Sidoarjo,,13651181250.0,28658163598.27762,True,5322.0,1998833,0,1238679,783488,4966222,19677698,2127977,1646426.417807178,17871318,652831,0,0,2604688,738138,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Yamaha R15,Bekas,34223364.847922936,90406683.5104877,True,8416.0,1697224,0,766879,1070020,2906892,23601727,0,2014249.8734062945,9798217,0,0,220254,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 500 gram,,34223364.847922936,73628567.03580599,True,7198.0,894134,0,1046793,1424468,0,6635278,4414827,406649.6615220138,0,1406642,0,0,3650524,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Suzuki DR-150S,Bekas,30899754.604255557,91131180.44367169,True,,1811885,3349075,784205,1398390,0,6926762,3856603,687849.6276891149,0,0,1124236,1158036,1976891,1323067,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor trail,Honda CRF 150L,Baru,35384000.0,51966248.00281173,True,9454.0,270750,0,1214950,656557,7496623,21159913,2185897,1395443.0891983737,0,1916480,0,0,1553362,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,"Cincin tunangan berlian solitaire 0,25 karat",,6251167.914597889,8633499.137344858,True,8452.0,1687403,0,880210,922225,7427602,10987913,0,849585.7896572221,0,0,0,296220,4006274,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Yamaha Vixion,Baru,28701588.811324704,51680131.05457133,True,5782.0,1179829,0,971629,489083,3480627,5796868,0,573554.0910490191,3792900,4989990,0,0,2559421,0,3,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung emas kuning 22 karat dengan liontin berbentuk hati,,6317710.881963312,5253624.122288885,True,7192.0,1487872,7530054,823505,626309,3001807,34172532,0,2562244.489422504,642356,0,1282784,4494669,0,605413,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Gelang perak sterling dengan liontin mutiara dan berlian,,869174.3484593014,1399069.6167357112,True,4297.0,217889,2477791,992945,888246,6681144,20489186,0,1602257.2557106882,0,0,2086263,2610578,930981,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,14370592.708132433,18216992.372099914,True,,1637632,0,964094,1136301,0,15145738,1991136,1418204.1782534209,15106024,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Baru,19254288.6072267,13626834.117763076,True,,257623,0,1483248,1092857,0,13111956,0,667925.2231416308,0,0,1018975,0,202600,2356806,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,24148636.95695929,16473983.182274971,True,1796.0,1717526,5879784,1387744,927075,0,24165410,0,1851240.930688773,11343467,0,0,4423599,4826774,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Bekas,15546207.958932495,18211473.880027693,True,8138.0,1073490,6802375,912215,466370,9531056,15276102,4649167,1305135.1581768706,13119021,496458,4811642,3984778,2618971,4078762,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 116 m2 Medan Barat,Baru,1202009839.0,2384753451.955007,True,4485.0,1244667,6085961,1101202,497862,0,15797620,1592174,829820.5345426532,7690634,246717,4836146,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Bekas,13310498.368681766,16621170.460338106,True,8448.0,1057876,0,1140973,607969,6286842,13274343,2400914,827088.2676110694,0,0,1455015,1813847,2457661,3933388,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Suzuki Ertiga,Bekas,236002922.3956666,221543064.50072235,True,3958.0,978136,0,1232830,529979,9302259,14771728,3481698,1326719.1898190873,0,0,0,654615,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,12554667.216708705,11552679.075752787,True,5537.0,1116079,0,1250945,1481976,7461573,10407746,2969406,968463.9960115344,0,4531536,3451557,0,87405,0,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Mercedes-Benz C-Class,Baru,1725244765.2430806,2415095589.037673,True,2054.0,398020,0,885100,1317751,6679299,26326011,1102468,2440189.9442779417,0,3583358,857509,0,1730498,2624834,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,5196908.442221119,5438783.051255673,True,4940.0,381547,9111102,869919,1056882,6021158,15969409,3335038,1310548.1200271815,0,0,0,717931,2529511,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Bekas,16325327.24684473,11055656.923705928,True,6717.0,555373,1460599,1476573,1335219,7775138,16165985,0,979620.8342353747,0,2320572,0,4805164,2921259,0,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,7926738.315431003,9597541.571869507,True,7877.0,234308,7981879,1265649,667441,7500116,10577231,0,1034729.8151717705,13997330,0,711810,3464900,4540614,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor trail,Honda CRF 150L,Bekas,31177671.204787746,33789611.21277311,True,5490.0,925971,0,1248190,1362706,4829159,13098681,3561485,1116726.550384781,10377520,0,0,0,2986185,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Bekas,17240390.123145938,37600148.04745251,True,,1074697,0,781391,1190372,0,29499807,3067208,1975825.9895696046,0,4367189,2279608,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Yamaha WR 155 R,Bekas,27487629.546422087,31205269.553962585,False,5591.0,825759,2863999,990856,998104,0,26903845,4983830,1657949.8950258112,17681291,0,2570750,3065547,0,2624257,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,"Cincin solitaire emas putih 18 karat dengan berlian 0,3 karat",,8281247.770948643,17740367.93568897,False,7245.0,882867,1010509,939901,1437539,0,5396235,0,296015.4388636717,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Honda CBR 150R,Bekas,25984848.13718568,37901880.279213965,True,7285.0,818152,4038489,969210,1296182,0,32351848,3510692,2396769.499561968,0,567508,1855173,1342133,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,11348782.524894463,10912285.053441383,False,6480.0,1548518,0,1021115,1220413,7332274,26995954,4712946,2696933.561482156,0,1771030,1287935,0,3925539,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3815 m2 pedesaan Mojokerto,,18556102775.0,50549161244.901344,True,5404.0,1355385,9051751,1008056,1444900,0,22596974,3510905,1354620.759453117,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Kawasaki Ninja 250,Baru,46020297.318553805,39062744.09514548,True,5389.0,1519602,7035677,1235222,594489,0,21267453,1727086,1153936.8676020266,0,659805,2047922,1889278,1248325,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 296 m2 Palembang,Bekas,902200844.0,798424792.9418237,True,9144.0,1224924,7522615,918027,595553,6030865,23306911,0,1456022.2980633453,0,4219433,0,0,0,3415658,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,14699873.348804494,16925776.86521904,True,1567.0,555977,0,1070698,1102306,0,6415307,0,456104.1955449525,15334850,0,0,0,65089,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung liontin mutiara 1 karat dengan emas putih 18 karat,,26462180.636617437,71872463.94124171,True,5397.0,1389383,9058504,772341,376394,0,16012214,0,845224.8293098314,0,0,486728,0,25007,2696254,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,10627038.90555749,17765173.89422305,True,6318.0,287335,3430592,828075,415226,9143999,6390439,4136883,409639.3685902142,12257974,1136024,808389,1590760,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3397 m2 pinggiran kota Medan Utara,,25021965697.0,18704921776.75837,True,1673.0,1139937,5382167,950250,527540,0,5719151,3288591,406825.9566098017,10692914,4540976,2912792,1937887,2542899,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,13951114.190475611,17347748.912655305,True,4859.0,1898548,0,1119301,622922,6073628,13596110,2425316,1113085.2311791237,0,2475154,78161,568817,0,476397,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Honda CRF 150L,Baru,35384000.0,60225449.70914593,True,5365.0,891725,5315586,755731,1090699,7189552,27233901,1510108,1741833.951848522,0,0,1159393,3747036,4083598,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Daihatsu Xenia,Bekas,264422116.65496042,530479609.6119893,True,4522.0,1158695,0,865510,525790,0,28363978,1541954,2497095.287096674,16492873,3203239,0,0,3861787,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,21684307.110589955,62536358.62183083,True,,408849,0,1231967,1276517,6143752,18695238,3624436,1560661.8895362027,1410188,4730996,3674989,2735108,3646754,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 208 m2 Palembang,Baru,735014167.0,1467799757.5763915,True,5397.0,769046,0,1008511,870764,0,23457902,3502750,1184573.6347316327,6374308,0,3060249,3502432,1370807,2266226,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,14993763.03280512,39027781.96775989,True,,1506710,9142800,1161353,1044669,0,16849821,4434713,1415358.943111654,0,0,0,3715981,0,4864875,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung emas kuning 22 karat dengan liontin berbentuk hati,,7157811.281064449,12474837.442414999,True,,1074176,0,975486,518527,0,18039765,2454865,1697029.5521421116,18432434,0,1278691,0,0,2287957,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4095 m2 perkotaan Surabaya,,63958171095.0,156997436109.53217,True,3986.0,1643821,0,1279918,514873,0,6480827,4906777,383010.79611412983,13291068,2618898,0,102402,3860506,895672,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor bebek,Suzuki Smash,Baru,19522659.990184084,38750179.973343536,True,8587.0,873080,6071828,1272659,791545,0,32294760,0,3122870.977295806,3673010,0,3146658,0,3053051,1450039,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 83 m2 Medan,Bekas,1155017197.0,2118738153.4973536,True,,1994363,633387,778136,897134,4022742,16892823,3733775,1224777.0850628847,0,0,4229795,0,0,5966,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Vivo X80,Baru,13434641.666332709,13129888.644275252,True,4967.0,1849894,0,1298956,519038,9016709,19050838,0,1236801.4066549714,1574991,1326666,258786,3274854,273276,4584066,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,14580717.500536598,18394323.906583436,True,7656.0,1201514,0,1180094,802951,0,14618175,0,1172323.885215925,0,340750,0,0,4067815,175687,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,22046296.941605967,55715834.95908383,True,3150.0,659657,0,1489398,714846,0,16636672,2637892,1503238.6460241156,0,3329285,0,0,0,3752753,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,11937215.881482957,26878618.03990364,False,2479.0,1692191,0,1200707,1068727,0,25174994,0,2425436.524810186,15518490,0,4008068,4851365,987631,644473,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,20157191.776716985,47576789.31272675,True,3314.0,1623607,8981727,1096515,545390,0,24752131,4013550,2085217.1587166903,7888181,1563750,601326,1873381,3773293,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,1044 m2 perkotaan Makassar,,11678321808.0,19178104935.072742,True,5968.0,877918,7407298,1141645,1497997,0,7168304,4061364,469370.8487318111,0,4165889,0,0,0,88176,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Baru,16302860.50635787,18669295.470651016,True,4614.0,1204771,0,1018513,1338708,3783510,22884860,3959852,1556964.7095774056,0,1305557,0,3127606,2714278,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Suzuki GSX-R 150,Baru,35542686.19943398,71193071.35990739,True,,1526041,0,1228907,856712,4830845,12292690,0,781466.4860760671,0,1502711,0,761185,4693426,3403901,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor trail,Kawasaki KLX 150,Bekas,26732781.040562987,65440545.97265021,True,,1980097,0,923254,505234,0,20819599,4838808,1548227.268253924,0,4450734,0,0,0,387774,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,11065888.755045125,27794028.639825054,True,7946.0,504276,3108062,1382383,759968,6973068,18132953,2062119,1093148.228021943,0,1689655,0,4538725,0,3886657,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Xiaomi 12S Pro,Baru,16457811.24309854,32717827.27946118,True,2936.0,735754,2338399,1454358,1411105,0,26651806,4638441,1817508.968674836,8016449,3772050,0,0,3351990,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3797 m2 pinggiran kota Surabaya Barat,,42212726033.0,91046806101.7359,False,9679.0,273796,2663799,767889,1141108,0,7322717,0,604510.7354943855,0,0,3588806,0,0,2521341,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,4950 m2 perkotaan Surabaya,,75047014350.0,222984891258.09723,True,1842.0,1877553,0,874660,811997,0,9846237,0,877795.9661417507,0,4182965,2912543,0,4793306,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor trail,Suzuki DR-150S,Bekas,24822676.433396455,27857843.82256914,True,3368.0,1012550,7696423,955877,473737,0,14284724,1736333,1326143.519548567,0,0,0,0,0,1106872,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 272 m2 Tangerang,Baru,676835506.0,734588501.0259991,True,5455.0,244699,8878178,988398,1180197,6313072,11501788,0,727599.2707036675,0,0,0,0,0,1155057,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,4037 m2 pedesaan Kulon Progo,,12882466663.0,33707829494.341446,True,6501.0,1418662,0,852813,1421656,2070336,10005433,0,538728.1448699401,17524396,2671813,0,0,0,1385048,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 500 gram,,12882466663.0,28579623551.054016,True,,1163986,1292678,1498427,883214,0,11833283,2526584,679133.5895430137,0,0,3342871,1160323,1178332,3139673,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Xiaomi 12S Pro,Baru,16899152.85006444,12410864.881778518,True,7188.0,1781963,4522021,1253670,1203658,0,14687147,1956040,1013429.8414421321,3361097,1470207,0,0,0,1608588,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,10264995.253631875,19698033.61974126,True,8289.0,1212253,5100089,873259,1186158,5966446,28424084,0,1759896.1935311183,7546142,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
